pkey	user_id	happiness	unix_time	latz	text
948	55	4	1349456819	42.2754355,-85.6217243	
950	55	2	1349457965	42.2754355,-85.6217243	
951	55	3	1349458025	42.2754355,-85.6217243	
953	55	1	1349461781	42.2754355,-85.6217243	
954	55	5	1349461818	42.2754355,-85.6217243	
955	55	3	1349461861	42.2754355,-85.6217243	
956	55	3	1349462015	42.2754355,-85.6217243	
957	55	3	1349462510	42.2754355,-85.6217243	
958	55	2	1349462738	42.2754355,-85.6217243	
959	55	1	1349463243	42.2754355,-85.6217243	
960	55	4	1349463439	42.2754355,-85.6217243	
961	55	4	1349463609	42.2754355,-85.6217243	
962	55	3	1349463866	42.2754355,-85.6217243	
963	55	3	1349466630	42.275337,-85.6219177	
964	55	4	1349466719	42.275337,-85.6219177	
965	55	2	1349466755	42.275337,-85.6219177	
966	55	5	1349470504	42.275337,-85.6219177	
967	55	2	1349470686	42.275337,-85.6219177	
968	55	5	1349470920	42.275337,-85.6219177	
969	55	0	1349471957	42.275405,-85.6218224	
970	55	3	1349472003	42.275405,-85.6218224	
978	55	2	1349475079	42.275405,-85.6218224	
984	55	3	1349475345	42.275405,-85.6218224	
993	55	3	1349494010	42.2754808,-85.6216767	
994	55	5	1349494020	42.2754808,-85.6216767	
995	55	4	1349494211	42.2754808,-85.6216767	
996	55	4	1349494371	42.2754808,-85.6216767	
1001	55	5	1349494727	42.2754808,-85.6216767	
1002	55	3	1349494760	42.2754808,-85.6216767	
1003	55	5	1349494799	42.2754808,-85.6216767	
1004	55	5	1349494839	42.2754808,-85.6216767	
1005	55	2	1349494881	42.2754808,-85.6216767	
1006	55	1	1349495260	42.2754808,-85.6216767	
1007	55	2	1349495990	42.2754808,-85.6216767	
1008	55	5	1349496097	42.2754808,-85.6216767	
1009	55	3	1349496124	42.2754808,-85.6216767	
1010	55	2	1349496375	42.2754808,-85.6216767	
1011	55	5	1349496663	42.2754808,-85.6216767	
1012	55	3	1349496792	42.2754808,-85.6216767	
1013	55	5	1349496852	42.2754808,-85.6216767	
1014	55	3	1349497003	42.2754808,-85.6216767	
1015	55	0	1349497214	42.2754808,-85.6216767	
1016	55	1	1349497379	42.2754808,-85.6216767	
1017	55	0	1349497583	42.2754808,-85.6216767	
1018	55	2	1349498458	42.2754808,-85.6216767	
1019	55	2	1349498510	42.275401,-85.621748	
1024	55	0	1349499810	42.275401,-85.621748	
1025	55	0	1349499889	42.275401,-85.621748	
1034	55	2	1349503055	42.275401,-85.621748	
1035	55	0	1349503061	42.275401,-85.621748	
1052	55	4	1349530762	42.2753907,-85.6217526	
1053	55	3	1349530915	42.2753907,-85.6217526	
1054	55	1	1349530956	42.2753907,-85.6217526	
1055	55	0	1349531018	42.2753907,-85.6217526	
1056	55	0	1349531069	42.2753907,-85.6217526	
1057	55	0	1349531088	42.2753907,-85.6217526	
1058	55	0	1349531250	42.2753907,-85.6217526	
1059	55	0	1349531272	42.2753907,-85.6217526	
1060	55	0	1349531286	42.2753907,-85.6217526	
1061	55	1	1349531325	42.2753907,-85.6217526	
1066	55	3	1349532433	42.2753907,-85.6217526	
1067	55	3	1349532608	42.2753907,-85.6217526	
1069	55	3	1349534179	42.2753907,-85.6217526	
1071	55	3	1349534339	42.2753907,-85.6217526	
1072	55	4	1349534381	42.2753907,-85.6217526	
1073	55	2	1349534465	42.2753907,-85.6217526	
1074	55	2	1349534465	42.2753907,-85.6217526	
1078	55	1	1349722934	42.2754026,-85.6218547	
1079	55	1	1349877338	42.2755039,-85.62162370000001	
1083	55	4	1349977681	42.2754175,-85.62168059999999	
1085	62	4	1350446631	42.2754408,-85.62170770000002	
1086	62	3	1350576748	42.2755817,-85.6217073	
1087	62	3	1350580302	42.275461,-85.621781	
1088	62	3	1350591896	42.275461,-85.621781	
1089	62	5	1350592015	42.275461,-85.621781	
1090	62	4	1350592365	42.275461,-85.621781	
1091	62	3	1350592491	42.275461,-85.621781	
1092	62	2	1350592533	42.275461,-85.621781	
1094	62	3	1350659546	42.275358,-85.6219795	
1095	62	2	1350659954	42.275358,-85.6219795	
1096	62	3	1350660141	42.275358,-85.6219795	
1097	62	5	1350660245	42.275358,-85.6219795	
1098	62	0	1350660329	42.275358,-85.6219795	
1099	62	2	1350660329	42.275358,-85.6219795	
1100	62	1	1350662767	42.275358,-85.6219795	
1101	62	0	1350662793	42.275358,-85.6219795	
1102	62	0	1350662827	42.275358,-85.6219795	
1103	62	1	1350662898	42.275358,-85.6219795	
1106	62	3	1350663211	42.275358,-85.6219795	
1107	62	2	1350663235	42.275358,-85.6219795	
1108	62	2	1350666126	42.275358,-85.6219795	
1109	62	3	1350666208	42.275358,-85.6219795	
1110	62	2	1350666253	42.275358,-85.6219795	
1111	62	4	1350666344	42.275358,-85.6219795	
1112	62	2	1350667467	42.275358,-85.6219795	
1113	62	1	1350667917	42.275358,-85.6219795	
1114	62	1	1350670469	42.275358,-85.6219795	
1115	62	4	1350670497	42.275358,-85.6219795	
1116	62	2	1350670507	42.275358,-85.6219795	
1117	62	3	1350670516	42.275358,-85.6219795	
1118	62	3	1350670570	42.275358,-85.6219795	
1119	62	4	1350670673	42.275358,-85.6219795	
1120	62	2	1350670684	42.275358,-85.6219795	
1121	62	2	1350673953	42.275358,-85.6219795	
1124	62	3	1350957033	42.2753696,-85.6218507	
1128	62	1	1350965029	42.2753696,-85.6218507	
1129	62	1	1350965116	42.2754334,-85.6217664	
1130	62	1	1350965224	42.2754334,-85.6217664	
1131	62	1	1350965576	42.2754334,-85.6217664	
1133	62	4	1350965678	42.2754334,-85.6217664	
1134	62	2	1350965815	42.2754334,-85.6217664	
1135	62	3	1350965882	42.2754334,-85.6217664	
1136	62	2	1350965935	42.2754334,-85.6217664	
1137	62	2	1350965990	42.2754334,-85.6217664	
1138	62	4	1350965996	42.2754334,-85.6217664	
1139	62	4	1350966006	42.2754334,-85.6217664	
1140	62	4	1350966014	42.2754334,-85.6217664	
1141	62	4	1350966045	42.2754334,-85.6217664	
1142	62	4	1350966079	42.2754334,-85.6217664	
1143	62	4	1350966089	42.2754334,-85.6217664	
1145	62	5	1351006663	42.2754183,-85.6218281	
1147	62	5	1351169355	42.2754789,-85.6217017	
1150	62	4	1351171878	42.2754789,-85.6217017	
1151	62	2	1351173234	42.2754789,-85.6217017	
1153	62	4	1351173662	42.2754789,-85.6217017	
1156	62	1	1351216356	42.27545629999999,-85.6217176	
1157	62	1	1351217647	42.27545629999999,-85.6217176	
1158	62	1	1351217657	42.27545629999999,-85.6217176	
1159	62	4	1351217693	42.27545629999999,-85.6217176	
1160	62	4	1351217846	42.27545629999999,-85.6217176	
1161	62	5	1351217858	42.27545629999999,-85.6217176	
1162	62	5	1351217912	42.27545629999999,-85.6217176	
1163	62	2	1351217922	42.27545629999999,-85.6217176	
1164	62	3	1351218008	42.27545629999999,-85.6217176	
1165	62	5	1351218014	42.27545629999999,-85.6217176	
1166	62	4	1351218089	42.27545629999999,-85.6217176	
1167	62	5	1351218100	42.27545629999999,-85.6217176	
1168	62	4	1351218129	42.27545629999999,-85.6217176	
1169	62	4	1351218202	42.27545629999999,-85.6217176	
1170	62	2	1351218233	42.27545629999999,-85.6217176	
1171	62	3	1351218247	42.27545629999999,-85.6217176	
1172	62	3	1351218394	42.27545629999999,-85.6217176	
1173	62	1	1351218416	42.27545629999999,-85.6217176	
1174	62	4	1351218426	42.27545629999999,-85.6217176	
1175	62	3	1351218441	42.27545629999999,-85.6217176	
1176	62	1	1351218453	42.27545629999999,-85.6217176	
1177	62	2	1351218453	42.27545629999999,-85.6217176	
1178	62	3	1351219644	42.27545629999999,-85.6217176	
1179	62	4	1351219701	42.27545629999999,-85.6217176	
1180	62	2	1351219714	42.27545629999999,-85.6217176	
1181	62	3	1351219720	42.27545629999999,-85.6217176	
1182	62	5	1351219736	42.27545629999999,-85.6217176	
1183	62	4	1351219788	42.27545629999999,-85.6217176	
1184	62	4	1351219792	42.27545629999999,-85.6217176	
1185	62	3	1351219804	42.27545629999999,-85.6217176	
1186	62	4	1351219832	42.27545629999999,-85.6217176	
1187	62	5	1351219841	42.27545629999999,-85.6217176	
1188	62	3	1351219909	42.27545629999999,-85.6217176	
1189	62	4	1351219966	42.27545629999999,-85.6217176	
1190	62	2	1351220316	42.27545629999999,-85.6217176	
1191	62	3	1351220365	42.27545629999999,-85.6217176	
1192	62	3	1351220379	42.27545629999999,-85.6217176	
1193	62	2	1351220533	42.27545629999999,-85.6217176	
1194	62	1	1351220553	42.27545629999999,-85.6217176	
1195	62	3	1351220593	42.27545629999999,-85.6217176	
1196	62	2	1351220642	42.27545629999999,-85.6217176	
1197	62	4	1351220763	42.27545629999999,-85.6217176	
1198	62	3	1351221059	42.27545629999999,-85.6217176	
1199	62	4	1351221107	42.27545629999999,-85.6217176	
1200	62	2	1351221548	42.27545629999999,-85.6217176	
1201	62	2	1351221611	42.27545629999999,-85.6217176	
1202	62	1	1351221636	42.2754384,-85.6217364	
1203	62	3	1351223201	42.2754384,-85.6217364	feeling good feeling great
1204	62	2	1351223255	42.2754384,-85.6217364	as whe
1205	62	2	1351223323	42.963402,-85.668098	when i gogo
1206	62	3	1351223484	42.963402,-85.668098	
1207	62	4	1351223572	42.963402,-85.668098	
1208	62	1	1351223630	42.963402,-85.668098	
1209	62	2	1351223712	42.2754384,-85.6217364	
1210	62	2	1351223752	42.963402,-85.668098	
1211	62	3	1351223785	42.275385,-85.621574	
1212	62	2	1351223898	42.275385,-85.621574	
1213	62	3	1351224041	42.275385,-85.621574	
1214	62	3	1351224709	42.275385,-85.621574	
1215	62	5	1351224731	42.275385,-85.621574	
1216	62	4	1351224761	42.275385,-85.621574	
1217	62	4	1351225056	42.275385,-85.621574	
1218	62	3	1351227046	42.275385,-85.621574	
1219	62	2	1351227118	42.2754384,-85.6217364	
1220	62	3	1351227162	42.275385,-85.621574	
1221	62	4	1351227239	42.275385,-85.621574	
1222	62	3	1351227909	42.275385,-85.621574	
1223	62	3	1351227948	42.275385,-85.621574	
1224	62	4	1351257455	42.2754618,-85.62167079999999	
1225	62	4	1351271453	42.2754618,-85.62167079999999	
1226	62	2	1351271870	42.2754618,-85.62167079999999	
1227	62	3	1351271879	42.2754618,-85.62167079999999	
1228	62	4	1351271937	42.2754618,-85.62167079999999	
1229	62	2	1351271967	42.2754618,-85.62167079999999	
1230	62	2	1351271984	42.2754618,-85.62167079999999	
1231	62	2	1351271994	42.2754618,-85.62167079999999	
1232	62	3	1351272005	42.2754618,-85.62167079999999	
1233	62	2	1351272214	42.2754618,-85.62167079999999	
1234	62	2	1351272339	42.2754618,-85.62167079999999	
1235	62	3	1351272359	42.2754618,-85.62167079999999	
1236	62	4	1351272402	42.2754618,-85.62167079999999	
1237	62	4	1351272431	42.2754618,-85.62167079999999	
1238	62	3	1351272477	42.2754618,-85.62167079999999	
1239	62	3	1351272529	42.2754618,-85.62167079999999	
1240	62	2	1351272540	42.2754618,-85.62167079999999	
1241	62	3	1351272610	42.2754618,-85.62167079999999	
1242	62	4	1351272650	42.2754618,-85.62167079999999	
1243	62	4	1351272661	42.2754618,-85.62167079999999	
1244	62	4	1351272674	42.2754618,-85.62167079999999	
1245	62	4	1351272812	42.2754618,-85.62167079999999	
1246	62	4	1351272929	42.2754618,-85.62167079999999	
1247	62	4	1351272975	42.2754618,-85.62167079999999	
1248	62	4	1351272993	42.2754618,-85.62167079999999	
1249	62	0	1351273492	42.2754618,-85.62167079999999	
1250	62	1	1351281479	42.27524466492929,-85.62176871662898	
1251	55	1	1351281756	42.27531035154419,-85.62177806064072	
1252	61	5	1351281890	42.2753304429746,-85.62198679902183	Drugs
1253	61	5	1351285830	42.27538939999999,-85.62177059999999	dzfhdfhdfhah
1254	62	4	1351345762	42.275482,-85.6217153	
1255	62	2	1351348038	42.275482,-85.6217153	
1256	62	4	1351348509	42.275482,-85.6217153	
1257	62	4	1351348608	42.275482,-85.6217153	
1258	62	4	1351348624	42.275482,-85.6217153	
1259	62	3	1351348684	42.275482,-85.6217153	
1260	62	4	1351348708	42.275482,-85.6217153	
1261	62	3	1351348719	42.275482,-85.6217153	
1262	62	4	1351348731	42.275482,-85.6217153	
1263	62	3	1351349856	42.275482,-85.6217153	hr
1264	62	3	1351350335	42.275482,-85.6217153	
1265	61	4	1351356465	42.275482,-85.6217153	gangnam style
1266	55	4	1351408581	42.2752564865331,-85.62179880110062	We are so far.
1267	63	4	1351441718	42.27525215599898,-85.62192368329094	
1268	63	5	1351441783	42.275317329672035,-85.62178840569642	
1269	55	2	1351441810	42.2753124,-85.6219472	
1270	63	3	1351441826	42.27526020262602,-85.6219222583674	
1271	55	2	1351441852	42.2753124,-85.6219472	
1272	63	3	1351441861	42.27537134666208,-85.62199979097174	
1273	55	2	1351458533	42.2753124,-85.6219472	
1274	55	4	1351458948	42.2753124,-85.6219472	
